ID,Name,twoyear,fiveyear,tenyear,twentyyear,fiftyyear,onehundredyear,twohundredyear,fivehundredyear,thousandyear,LSL,FSL,minorflood
09AE001,Teslin Lake at Teslin ,6.815,7.515,7.905,8.235,8.615,8.885,9.125,,,,,
09AA004,Bennett Lake at Carcross,2.564,2.844,3.004,3.144,3.294,3.404,3.504,,,,,
09AA017,Tagish Lake at 10 Mile,7.396,7.696,7.886,8.046,8.236,8.366,8.496,,,,,
09AB004,Marsh Lake near Whitehorse ,3.013,3.313,3.473,3.613,3.763,3.873,3.973,4.083,4.163,0.443,2.873,3.343
09AB010,Lake Laberge near Whitehorse,8.43,8.72,8.88,9.01,9.14,9.23,9.3,,,,,
10AA001,Liard at Upper Crossing,5.277,6.177,6.727,7.217,7.807,8.227,8.627,,,,,
09DC003,Stewart River near Mayo ,7.527,8.297,8.757,9.157,9.637,9.977,10.307,,,,,
09BC001,Pelly River at Pelly Crossing,4.077,4.767,5.167,5.527,5.947,6.257,6.547,,,,,
09BC002,Pelly River at Ross River,3.116,3.586,3.866,4.106,4.416,4.626,4.826,,,,,
09AB001,Yukon River at Whitehorse,31.09,31.35,31.52,31.7,31.94,32.12,32.31,,,,,
09AH001,Yukon River at Carmacks,4.488,4.968,5.238,5.458,5.718,5.898,6.058,,,,,
09EB001,Yukon River at Dawson ,4.424,5.154,5.544,5.864,6.234,6.484,6.714,,,,,
09EA001,Klondike River above Bonanza,2.919,3.559,3.959,4.329,4.779,5.109,5.419,,,,,
09FD003,Porcupine River Below Old Crow,15.548,16.268,16.678,17.028,17.458,17.748,18.028,,,,,
